rubro,linea,nombre_base,nombre_ejemplo
Flotante 44 Kronotex,Outlet 8mm,Flotante 44 Kronotex D4609 Port Oak Caja X Tra Wide Ac4,Flotante 44 Kronotex D4609 Port Oak Caja X-tra Wide AC4 (1380x244x8mm)---
Flotante 44 Kronotex,Outlet 8mm,Flotante 44 Kronotex Hb Oak Silver Caja Hoztek Ac4,Flotante 44 Kronotex HB Oak Silver Caja Hoztek (Pallet D3773) AC4 (665x133x8mm)---
Flotante 44 Kronotex,Outlet 8mm,Flotante 44 Kronotex Mv868 Eiche Rustikal Caja My Cottage Ac4,Flotante 44 Kronotex MV868 Eiche Rustikal Caja My Cottage AC4 (1380x193x8mm)---
Flotante 44 Kronotex,Outlet 8mm,Flotante 44 Kronotex Sp882 Oak Turin Caja Surprise Plus Ac4,Flotante 44 Kronotex SP882 Oak Turin Caja Surprise Plus AC4 (1380x193x8mm)---
Flotante Blend,Blend 7mm,Flotante Blend 14 Tablas,"Flotante Blend 7mm (19,5x1,38) 14 tablas - -"
Flotante Blend,Blend 7mm,Flotante Blend 16 Tablas,"Flotante Blend 7mm (19,5x1,28) 16 tablas - -"
Flotante Blend,Blend 8mm,Flotante Blend 12 Tablas,"Flotante Blend 8mm (19,5x1,38) 12 tablas - -"
Flotante Blend,Blend 8mm,Flotante Blend 15 Tablas,"Flotante Blend 8mm (19,5x1,28) 15 tablas - -"
Flotante Blend,Blend 9mm,Flotante Blend Con Manta 11 Tablas,"Flotante Blend 9mm con manta (19,5x1,28) 11 tablas - -"
Flotante Kronotex,Dynamic,Flotante Exclusivo Pisos Alemanes 1407 Beach Dinamic,Flotante Exclusivo Pisos Alemanes 1407 Beach Dinamic -
Flotante Kronotex,Partida Unica,Flotante Exclusivo Pewen D80732 Amerigo Caja Dynamic,Flotante Exclusivo Pewen D80732 Amerigo Caja Dynamic - -
Flotante Kronotex,Water Resistant,Flotante Exclusivo Pewen 4152 Everest Oak Natur Mammut Water Resistant,Flotante Exclusivo Pewen 4152 Everest Oak Natur Mammut Water Resistant
